image_path,split,label
data/processed/train/fresh/freshapples_8ce122d5a898.png,train,fresh
data/processed/train/rotten/rottenbanana_c39bd4166581.png,train,rotten
data/processed/train/rotten/rottenbanana_d53427b8128c.png,train,rotten
data/processed/train/fresh/freshapples_5737cbf35d4a.png,train,fresh
data/processed/train/rotten/rottenoranges_c92727286c4d.png,train,rotten
data/processed/train/rotten/rottenbanana_30c05a706359.png,train,rotten
data/processed/train/fresh/freshoranges_14613b158f6c.png,train,fresh
data/processed/train/fresh/freshbanana_755b66c183a6.png,train,fresh
data/processed/train/rotten/rottenbanana_7d721b366d0d.png,train,rotten
data/processed/train/rotten/rottenapples_8790633edb8f.png,train,rotten
data/processed/train/rotten/rottenbanana_6c37d0f1c262.png,train,rotten
data/processed/train/rotten/rottenoranges_5c3444ae97e0.png,train,rotten
data/processed/train/rotten/rottenapples_2a8035b8570e.png,train,rotten
data/processed/train/fresh/freshoranges_0e33ae8c22a9.png,train,fresh
data/processed/train/fresh/freshoranges_f731a0c1d77c.png,train,fresh
data/processed/train/rotten/rottenoranges_1f4d0bc2cabd.png,train,rotten
data/processed/train/fresh/freshoranges_888615585386.png,train,fresh
data/processed/train/rotten/rottenbanana_3ac1407b28b9.png,train,rotten
data/processed/train/rotten/rottenoranges_32b8165b2827.png,train,rotten
data/processed/train/rotten/rottenbanana_0fa3546f9b87.png,train,rotten
data/processed/train/fresh/freshapples_b62634399216.png,train,fresh
data/processed/train/fresh/freshoranges_83e5ffa7ade8.png,train,fresh
data/processed/train/rotten/rottenoranges_eb23a7f54a18.png,train,rotten
data/processed/train/fresh/freshapples_9fe44297d745.png,train,fresh
data/processed/train/rotten/rottenoranges_ec723862faa6.png,train,rotten
data/processed/train/rotten/rottenoranges_3bf9bd069f89.png,train,rotten
data/processed/train/fresh/freshoranges_7d570f52615f.png,train,fresh
data/processed/train/fresh/freshapples_8cb3fe91f1a3.png,train,fresh
data/processed/train/rotten/rottenapples_10ea37cd7c11.png,train,rotten
data/processed/train/rotten/rottenapples_09e7d578e2ab.png,train,rotten
data/processed/train/fresh/freshbanana_259b069737c2.png,train,fresh
data/processed/train/fresh/freshbanana_29dc976e904f.png,train,fresh
data/processed/train/rotten/rottenapples_9268df7b5a06.png,train,rotten
data/processed/train/rotten/rottenbanana_129b110ee124.png,train,rotten
data/processed/train/fresh/freshbanana_2b67e4991272.png,train,fresh
data/processed/train/rotten/rottenapples_fdf153e615d2.png,train,rotten
data/processed/train/fresh/freshapples_285d1ecf2a00.png,train,fresh
data/processed/train/fresh/freshapples_e42de3fc357f.png,train,fresh
