model,split,image_path,y_true,y_pred,correct,proba_fresh,proba_rotten,confidence
logistic_regression,validation,data/processed/val/fresh/freshapples_f1e3c5897d0c.png,fresh,rotten,False,0.4633759381347191,0.5366240618652809,0.5366240618652809
logistic_regression,validation,data/processed/val/rotten/rottenbanana_e8514c2dda28.png,rotten,rotten,True,0.04277307691225951,0.9572269230877405,0.9572269230877405
logistic_regression,validation,data/processed/val/rotten/rottenapples_19b6859640a1.png,rotten,rotten,True,0.006425986691255381,0.9935740133087446,0.9935740133087446
logistic_regression,validation,data/processed/val/rotten/rottenbanana_8faebdebc523.png,rotten,rotten,True,0.02866629082485861,0.9713337091751414,0.9713337091751414
logistic_regression,validation,data/processed/val/fresh/freshoranges_e3f24eb07e18.png,fresh,fresh,True,0.91658049566419,0.08341950433581002,0.91658049566419
logistic_regression,validation,data/processed/val/fresh/freshbanana_16c889040e81.png,fresh,fresh,True,0.5658040589712797,0.4341959410287203,0.5658040589712797
logistic_regression,validation,data/processed/val/rotten/rottenapples_991c920abeba.png,rotten,rotten,True,0.1379810127098433,0.8620189872901567,0.8620189872901567
logistic_regression,validation,data/processed/val/rotten/rottenapples_01fd368277b2.png,rotten,rotten,True,0.22034370361150202,0.779656296388498,0.779656296388498
logistic_regression,validation,data/processed/val/fresh/freshapples_3e3cd8e3ae82.png,fresh,fresh,True,0.7363438900787427,0.2636561099212574,0.7363438900787427
logistic_regression,validation,data/processed/val/fresh/freshoranges_4a8b3bbca20b.png,fresh,fresh,True,0.8623853514284656,0.13761464857153435,0.8623853514284656
logistic_regression,validation,data/processed/val/rotten/rottenapples_b59fe3309d62.png,rotten,rotten,True,0.4703406072677345,0.5296593927322655,0.5296593927322655
logistic_regression,validation,data/processed/val/rotten/rottenbanana_fc9e8b446ef0.png,rotten,rotten,True,0.005234758701795683,0.9947652412982043,0.9947652412982043
logistic_regression,validation,data/processed/val/fresh/freshoranges_83cc3a5f0bde.png,fresh,fresh,True,0.7391681810868846,0.26083181891311535,0.7391681810868846
logistic_regression,validation,data/processed/val/fresh/freshoranges_9aa364e56d01.png,fresh,fresh,True,0.9578315272580719,0.04216847274192811,0.9578315272580719
logistic_regression,validation,data/processed/val/fresh/freshoranges_92b75e26a16e.png,fresh,fresh,True,0.8695287256031653,0.1304712743968347,0.8695287256031653
logistic_regression,validation,data/processed/val/rotten/rottenbanana_85b22871f97d.png,rotten,rotten,True,0.15663108290580574,0.8433689170941943,0.8433689170941943
logistic_regression,validation,data/processed/val/fresh/freshbanana_a1b0c8448a34.png,fresh,rotten,False,0.18847361968958753,0.8115263803104125,0.8115263803104125
logistic_regression,validation,data/processed/val/fresh/freshapples_c051f4513a56.png,fresh,fresh,True,0.9073078530337135,0.09269214696628643,0.9073078530337135
logistic_regression,validation,data/processed/val/fresh/freshoranges_f7e6eb0f5d59.png,fresh,fresh,True,0.7435087543874859,0.2564912456125142,0.7435087543874859
logistic_regression,validation,data/processed/val/rotten/rottenapples_d3f46a1b9ec1.png,rotten,rotten,True,0.48338562226222614,0.5166143777377739,0.5166143777377739
logistic_regression,validation,data/processed/val/fresh/freshapples_46bf96ee399a.png,fresh,fresh,True,0.5098555751913598,0.4901444248086402,0.5098555751913598
logistic_regression,validation,data/processed/val/rotten/rottenoranges_6ee5766b7ebe.png,rotten,rotten,True,0.18132060365443503,0.818679396345565,0.818679396345565
logistic_regression,validation,data/processed/val/rotten/rottenoranges_a13df05fd79e.png,rotten,fresh,False,0.8084742655562532,0.19152573444374676,0.8084742655562532
logistic_regression,validation,data/processed/val/rotten/rottenbanana_3fc722630c13.png,rotten,rotten,True,0.002926441233120136,0.9970735587668799,0.9970735587668799
logistic_regression,validation,data/processed/val/rotten/rottenapples_3b51a853295e.png,rotten,rotten,True,0.06446476145708768,0.9355352385429123,0.9355352385429123
logistic_regression,validation,data/processed/val/rotten/rottenoranges_34cf86191dec.png,rotten,rotten,True,0.3163733048833255,0.6836266951166745,0.6836266951166745
logistic_regression,validation,data/processed/val/fresh/freshapples_bb62e4aaa349.png,fresh,fresh,True,0.5896133237120684,0.41038667628793163,0.5896133237120684
logistic_regression,validation,data/processed/val/rotten/rottenapples_782f4cdee409.png,rotten,rotten,True,0.14966165126415532,0.8503383487358447,0.8503383487358447
logistic_regression,validation,data/processed/val/rotten/rottenapples_baa09d9a7c73.png,rotten,fresh,False,0.6577972509848236,0.3422027490151765,0.6577972509848236
logistic_regression,validation,data/processed/val/rotten/rottenbanana_c79d67624bb1.png,rotten,rotten,True,0.02211172815019713,0.9778882718498029,0.9778882718498029
logistic_regression,validation,data/processed/val/rotten/rottenoranges_46c1c6e92255.png,rotten,rotten,True,0.37588836017496163,0.6241116398250384,0.6241116398250384
logistic_regression,validation,data/processed/val/fresh/freshoranges_477ac136ea4b.png,fresh,fresh,True,0.8992595442500286,0.10074045574997138,0.8992595442500286
logistic_regression,validation,data/processed/val/fresh/freshapples_45c164bf0d5a.png,fresh,fresh,True,0.6159185877006832,0.38408141229931686,0.6159185877006832
logistic_regression,validation,data/processed/val/rotten/rottenoranges_6a29211644d4.png,rotten,rotten,True,0.11325641493769067,0.8867435850623093,0.8867435850623093
logistic_regression,validation,data/processed/val/fresh/freshoranges_00a9c8db567d.png,fresh,fresh,True,0.9005667011383706,0.0994332988616294,0.9005667011383706
logistic_regression,validation,data/processed/val/fresh/freshapples_662bed67268f.png,fresh,rotten,False,0.3980047947206635,0.6019952052793365,0.6019952052793365
logistic_regression,validation,data/processed/val/fresh/freshapples_184a132d28a6.png,fresh,fresh,True,0.7864767030306479,0.2135232969693521,0.7864767030306479
logistic_regression,validation,data/processed/val/fresh/freshapples_ab7526b1dedc.png,fresh,fresh,True,0.9148424841510497,0.08515751584895027,0.9148424841510497
logistic_regression,validation,data/processed/val/fresh/freshbanana_e5f99d3d0fb9.png,fresh,fresh,True,0.8999898703426609,0.10001012965733916,0.8999898703426609
logistic_regression,validation,data/processed/val/rotten/rottenbanana_955178de402c.png,rotten,rotten,True,0.010834839596029822,0.9891651604039702,0.9891651604039702
logistic_regression,test,data/processed/test/fresh/freshbanana_33c2cc8af65d.png,fresh,fresh,True,0.9865734112717093,0.013426588728290704,0.9865734112717093
logistic_regression,test,data/processed/test/fresh/freshoranges_51beacbe4570.png,fresh,fresh,True,0.83354512296585,0.16645487703415,0.83354512296585
logistic_regression,test,data/processed/test/fresh/freshbanana_4d055a6753e9.png,fresh,fresh,True,0.9941668468529758,0.005833153147024153,0.9941668468529758
logistic_regression,test,data/processed/test/fresh/freshbanana_bb0ac16c0e17.png,fresh,fresh,True,0.8288405356785336,0.17115946432146648,0.8288405356785336
logistic_regression,test,data/processed/test/fresh/freshapples_7c6090dc6375.png,fresh,rotten,False,0.09332392089260033,0.9066760791073997,0.9066760791073997
logistic_regression,test,data/processed/test/fresh/freshoranges_a62881a9217f.png,fresh,fresh,True,0.590445371736293,0.40955462826370703,0.590445371736293
logistic_regression,test,data/processed/test/fresh/freshbanana_e878b87c9ac9.png,fresh,fresh,True,0.985488838993131,0.014511161006869028,0.985488838993131
logistic_regression,test,data/processed/test/fresh/freshapples_693f0d759bf7.png,fresh,fresh,True,0.8711145527225002,0.12888544727749987,0.8711145527225002
logistic_regression,test,data/processed/test/fresh/freshbanana_b4f3000234ba.png,fresh,rotten,False,0.23901024660651748,0.7609897533934825,0.7609897533934825
logistic_regression,test,data/processed/test/fresh/freshapples_b07c64c77312.png,fresh,rotten,False,0.4776714259708502,0.5223285740291498,0.5223285740291498
logistic_regression,test,data/processed/test/fresh/freshapples_342ecf96964a.png,fresh,fresh,True,0.6144559108490384,0.38554408915096167,0.6144559108490384
logistic_regression,test,data/processed/test/fresh/freshbanana_1f23fe7a1676.png,fresh,fresh,True,0.8159658570433437,0.1840341429566563,0.8159658570433437
logistic_regression,test,data/processed/test/fresh/freshbanana_50bd232ceb2a.png,fresh,fresh,True,0.9946924766228452,0.005307523377154745,0.9946924766228452
logistic_regression,test,data/processed/test/fresh/freshapples_071698311084.png,fresh,fresh,True,0.6327005045434444,0.36729949545655566,0.6327005045434444
logistic_regression,test,data/processed/test/fresh/freshbanana_1fe850b565a6.png,fresh,fresh,True,0.9494776173146215,0.050522382685378425,0.9494776173146215
logistic_regression,test,data/processed/test/fresh/freshbanana_b1490dd5c752.png,fresh,rotten,False,0.00015300754677705086,0.999846992453223,0.999846992453223
logistic_regression,test,data/processed/test/fresh/freshoranges_abfe957f599c.png,fresh,fresh,True,0.7901896918106559,0.20981030818934404,0.7901896918106559
logistic_regression,test,data/processed/test/fresh/freshapples_e577849d6262.png,fresh,fresh,True,0.8423284352346456,0.1576715647653544,0.8423284352346456
logistic_regression,test,data/processed/test/fresh/freshapples_7feb2504ef86.png,fresh,rotten,False,0.4713956351208044,0.5286043648791956,0.5286043648791956
logistic_regression,test,data/processed/test/fresh/freshbanana_444f74a01c97.png,fresh,rotten,False,0.2965966676152274,0.7034033323847726,0.7034033323847726
logistic_regression,test,data/processed/test/fresh/freshapples_705839bc61ab.png,fresh,fresh,True,0.51144104088554,0.48855895911446,0.51144104088554
logistic_regression,test,data/processed/test/fresh/freshapples_0554134c2c59.png,fresh,rotten,False,0.4607332338879154,0.5392667661120846,0.5392667661120846
logistic_regression,test,data/processed/test/fresh/freshoranges_75c58e161983.png,fresh,fresh,True,0.8578535464858928,0.14214645351410715,0.8578535464858928
logistic_regression,test,data/processed/test/fresh/freshbanana_65c6980ff236.png,fresh,fresh,True,0.9967674533330617,0.003232546666938238,0.9967674533330617
logistic_regression,test,data/processed/test/fresh/freshbanana_bdc2e2602ec2.png,fresh,fresh,True,0.5415357998802006,0.4584642001197994,0.5415357998802006
logistic_regression,test,data/processed/test/fresh/freshoranges_c494b09f479d.png,fresh,fresh,True,0.5187777231477542,0.4812222768522459,0.5187777231477542
logistic_regression,test,data/processed/test/fresh/freshbanana_4b775220dcde.png,fresh,fresh,True,0.7493408158570825,0.2506591841429175,0.7493408158570825
logistic_regression,test,data/processed/test/fresh/freshoranges_454e17610c76.png,fresh,fresh,True,0.8117982506593978,0.1882017493406022,0.8117982506593978
logistic_regression,test,data/processed/test/fresh/freshoranges_8bd231b213a1.png,fresh,fresh,True,0.9328541297024213,0.06714587029757864,0.9328541297024213
logistic_regression,test,data/processed/test/fresh/freshapples_3b9c6148c4d1.png,fresh,fresh,True,0.7473373973220607,0.2526626026779393,0.7473373973220607
logistic_regression,test,data/processed/test/fresh/freshoranges_5858efb3b570.png,fresh,fresh,True,0.8518208863755614,0.14817911362443856,0.8518208863755614
